.net;Intro to ASP.NET MVC 5;A web framework for c#
alchemy;"Getting started guide; Interactive web demo";A text analysis API
alembic;"A Practical Guide to Using Alembic; Tutorial";Manage your database changes in python
algorithms;"Problem Solving with Algorithms and Data Structures; Khan Academy";Popular methods to manipulate data
android;"Building your first app; Android Development";Build apps for Android devices
angular;"Shaping up with Angular; egghead.io";A javascript framework for data-driven applications
apache;Apache Documentation;A very popular http web server
api;"Best Practices for Designing Pragmatic RESTful APIs; A list of 40+ tutorials on how to make an api";How to expose and access data from different services
backbone;"Developing Backbone.js Applications; Backbone.js for Absolute Beginners";A framework that makes handling data easier in JavaScript
big-o;"Algorithm Analysis; Big-O Cheat Sheet";How to measure your code's performance
bootstrap;"Get Started; Getting Started with Bootstrap 3";A popular frontend framework
bottle;"Developing with Bottle; Developing with Bottle - part 2";A fast, simple and lightweight micro framework for python
c#;Learn X in Y Minutes;A popular web programming language
cakephp;"CakePHP Cookbook (Docs); Blog Tutorial";A framework for php applications
clojure;"Clojure for the Brave and True; Clojure for Beginners";A lisp dialect which runs on the JVM
cloudflare;Overview;Protect your website
codeigniter;CodeIgniter user manual;A php web framework
coffeescript;Learn X in Y Minutes;A language that compiles to JavaScript
coldfusion;"Coldfusion Tutorials; Raymond Camden's CF Blog";A server application for Java
couchdb;"Getting Started; Learn CouchDB";A nosql database for the web
css;"Codecademy; Dash";Styling your webpage
d3;"D3 Tutorials; Codecademy";A JavaScript library for visualizing data
dart;"Programmer’s Guide; Learn X in Y Minutes";An alternative to JavaScript
data science;DataQuest;Get meaningful insights from your data
data structures;"Basic Data Structures; Data Structure Visualizations";Efficiently organize your data in code
database design;tuts+;How to organize your database
django;"Want to Learn Django?; Documentation";A popular web framework for python
docker;Docker Interactive Tutorial;Create lightweight, portable, self-sufficient containers
elasticsearch;"Getting Started; Introducing Query DSL";A popular search engine for your application
elixir;"Try Elixir; Getting Started";A language built on top of the Erlang VM
ember;"Getting Started TodoMVC Guide; Ember 101";Build robust single-page apps with JavaScript
express;"Guide; Introduction to Express";The most popular web framework for node
facebook;Explore;Get data about people and their networks
firebase;"5 Minute Chat Tutorial; Codecademy";A realtime backend for your web or mobile app
flask;"Documentation; Flask Mega Tutorial";A basic microframework for python on the web
flight;Learn Flight;An event-driven web framework for JavaScript
foursquare;"Tutorial; Explore";Get data about places
fundamentals;"How the Internet Works in 5 Minutes; 20 Things I Learned";How the web works
git;"Try Git; The simple guide";Simple to use version control
go;"Tour; Go by Example";A new language for the web
google;Google API Explorer;An enormous collection of APIs from Google
groovy;"Beginner's Tutorial; The Groovy Goodness Blog";A dynamic language that works with Java
grunt;"Getting Started; Tutorial";A powerful javascript task runner
heroku;"Get Started; Intro to Heroku Screencast";Easily deploy your applications
html;"Dash; Codecademy";The very basics of putting something on a webpage
http;A Beginner's Guide;The basics of making web requests
https;"First Milliseconds https; Switch your website to use https";The basics of secure connections
